order_id,user_id,order_date,city,status,quantity,price,profit,order_month,order_year,order_quarter
258,515,2026-03-12 23:48:58.273612,Екатеринбург,completed,9,31324.6,9397.38,2026-03,2026,1
750,847,2026-03-12 23:48:58.274623,Нижний Новгород,cancelled,7,39440.2,11832.06,2026-03,2026,1
582,332,2026-03-12 23:48:58.274623,Ростов-на-Дону,completed,2,4493.18,1347.954,2026-03,2026,1
529,771,2026-03-12 23:48:58.274623,Ростов-на-Дону,completed,4,12331.03,3699.309,2026-03,2026,1
819,383,2026-03-12 23:48:58.275959,Красноярск,cancelled,7,38529.56,11558.867999999999,2026-03,2026,1
816,601,2026-03-12 23:48:58.275959,Москва,completed,9,6530.83,1959.2489999999998,2026-03,2026,1
1417,793,2026-03-12 23:48:58.276965,Самара,completed,1,10745.53,3223.659,2026-03,2026,1
1341,106,2026-03-12 23:48:58.276965,Уфа,processing,10,25357.25,7607.174999999999,2026-03,2026,1
1874,117,2026-03-12 23:48:58.277983,Санкт-Петербург,completed,10,37093.32,11127.996,2026-03,2026,1
1851,897,2026-03-12 23:48:58.277983,Красноярск,completed,8,43473.03,13041.909,2026-03,2026,1
2063,1,2026-03-12 23:48:58.277983,Санкт-Петербург,processing,3,13778.95,4133.685,2026-03,2026,1
1645,497,2026-03-12 23:48:58.277983,Ростов-на-Дону,completed,11,33287.74,9986.321999999998,2026-03,2026,1
1997,966,2026-03-12 23:48:58.277983,Уфа,completed,3,1502.69,450.807,2026-03,2026,1
2399,663,2026-03-12 23:48:58.279317,Казань,completed,2,13802.78,4140.834,2026-03,2026,1
2341,573,2026-03-12 23:48:58.279317,Ростов-на-Дону,completed,9,24273.65,7282.095,2026-03,2026,1
2840,898,2026-03-12 23:48:58.280948,Москва,completed,3,12621.53,3786.459,2026-03,2026,1
3006,992,2026-03-12 23:48:58.280948,Самара,processing,7,47745.32,14323.596,2026-03,2026,1
3295,196,2026-03-12 23:48:58.280948,Уфа,processing,8,19820.81,5946.243,2026-03,2026,1
3051,850,2026-03-12 23:48:58.280948,Москва,processing,10,22716.79,6815.037,2026-03,2026,1
