order_id,product_id,quantity,price
1,83,2,6275.26
1,90,3,4169.05
1,81,1,14581.54
2,92,2,14959.86
3,63,1,7365.0
3,83,3,12207.74
3,5,2,918.14
3,92,1,10731.77
4,17,1,6583.8
4,16,1,6928.98
5,41,1,12939.41
6,25,3,9403.05
6,3,2,12640.47
6,41,3,2953.6
7,93,2,7986.94
7,86,2,6537.49
7,86,3,1391.51
7,25,3,2638.95
7,35,1,3002.49
8,36,3,3380.91
9,53,1,9711.85
9,1,2,4469.57
9,45,1,5451.06
9,73,3,1748.38
9,60,1,2185.79
10,24,3,1753.06
11,76,3,14503.6
11,99,1,11936.68
11,28,3,5930.68
12,93,1,4962.84
13,96,3,2424.65
13,7,2,10735.75
14,36,1,8693.08
14,53,1,12611.49
15,26,1,14699.53
15,34,3,6874.18
15,12,2,5649.72
16,45,3,8084.12
16,81,3,12560.09
16,5,3,6092.37
17,73,1,14909.46
17,56,2,9867.12
17,88,2,3507.98
17,90,3,8498.36
17,96,2,1815.98
18,34,1,7281.48
18,5,1,7996.93
19,61,1,7275.08
19,42,2,8674.66
20,5,2,10668.68
20,81,2,13105.27
20,2,1,6610.41
20,43,2,9894.28
20,13,1,13740.66
21,21,2,8428.28
21,97,1,6865.63
21,79,2,9106.83
22,94,2,7366.8
22,32,2,10988.9
22,77,2,7497.09
22,52,2,1081.87
23,98,3,2063.9
23,55,2,14332.74
24,76,1,2878.38
24,22,2,13355.63
24,90,3,3377.7
24,73,1,2383.42
25,7,1,4984.47
25,99,1,12121.6
25,59,2,2897.46
26,85,1,3405.89
27,39,2,1665.44
27,31,1,6829.96
28,20,3,8552.55
28,100,2,571.7
29,45,1,7326.61
29,88,2,10632.31
30,86,2,12554.53
30,91,1,11564.31
30,13,2,2363.28
30,98,1,6298.31
31,37,3,11090.4
31,55,3,6210.83
31,10,2,7580.49
32,4,1,13341.03
32,23,1,5852.42
32,44,3,12436.95
32,79,3,11399.42
32,10,3,3836.07
33,25,1,3562.87
33,56,1,5424.01
33,84,1,6672.81
33,37,2,6108.82
34,5,2,14398.43
34,54,1,2871.37
34,88,3,12596.37
34,60,1,5521.16
35,84,2,12151.48
36,21,2,2366.72
37,50,3,7093.03
37,63,3,14418.86
37,52,2,11684.72
37,39,2,4250.41
37,82,1,9252.72
38,65,2,11824.55
38,92,2,12740.44
38,47,1,11889.67
38,55,3,11514.36
39,20,1,5388.18
40,34,1,7966.0
40,79,3,13146.98
40,56,1,7239.07
40,6,1,13084.5
40,59,2,1226.07
41,88,2,4158.74
41,44,3,4794.09
41,4,3,4374.92
41,38,2,6547.37
41,58,2,4816.41
42,77,1,5680.04
43,69,3,6245.11
44,11,3,1871.3
44,94,1,9677.34
45,36,2,14591.87
45,89,3,4039.46
45,94,3,8751.49
45,6,1,5235.53
46,19,3,14664.23
47,49,3,14713.86
48,44,3,11364.37
49,52,1,3166.99
49,96,2,10963.11
49,96,1,12634.37
49,56,1,12007.85
50,34,2,9425.93
50,70,1,10566.73
50,7,2,8813.37
50,28,2,4484.41
50,89,1,4514.38
51,78,2,13691.32
52,35,1,6404.15
52,3,2,10029.59
52,36,2,7205.4
53,13,1,3759.96
53,91,2,3705.34
53,79,2,11058.38
54,59,3,6601.09
54,77,2,8351.14
54,61,3,682.22
54,44,2,5522.31
54,57,1,7198.24
55,27,3,10617.02
55,87,2,4207.54
55,5,3,12858.23
55,11,3,7554.81
56,11,1,11346.16
56,68,2,4908.47
56,97,2,7046.74
57,4,1,9560.51
57,22,3,5598.58
57,56,2,14939.47
57,3,2,8568.37
58,31,2,13857.06
58,17,2,9303.27
58,16,1,6238.37
58,28,1,8775.8
59,21,3,14694.0
59,71,2,5604.36
60,54,3,4543.76
60,99,2,9639.0
61,65,3,8221.37
61,29,2,7675.08
61,60,2,12479.01
62,21,1,6300.79
62,1,3,12533.06
62,98,2,10014.76
62,88,1,6058.62
63,54,2,3238.69
63,4,3,3750.79
63,79,3,7798.74
63,11,3,8773.48
64,3,2,9342.28
64,22,3,9569.68
64,88,1,14301.77
64,3,3,9219.47
65,71,3,13019.85
65,21,2,5851.43
65,31,1,7346.45
65,92,1,5179.5
66,9,1,3501.61
66,60,2,4053.18
66,78,2,14850.84
67,60,3,9800.0
67,78,2,13145.24
68,32,2,10969.67
68,9,1,11354.82
69,67,2,13001.45
69,10,2,14384.83
69,92,3,2254.24
69,100,3,9882.8
70,92,1,6858.56
70,93,1,4747.96
70,51,3,11647.04
70,47,2,10891.06
70,66,3,9919.63
71,16,1,2616.76
71,34,3,11426.88
71,15,3,2949.83
71,53,3,5427.6
72,62,1,4335.36
72,43,3,10558.88
73,91,2,11411.29
73,97,2,5465.42
73,89,2,5294.59
73,58,3,4239.87
74,77,1,11539.18
74,19,3,4682.24
74,29,2,8671.32
75,40,3,2795.39
75,82,2,7391.63
75,57,3,4775.75
76,19,3,4738.83
76,50,2,9733.05
77,28,3,4892.87
78,2,2,5780.35
78,66,3,13118.37
78,67,2,7416.13
78,22,2,9835.85
78,76,3,5057.3
79,49,2,9901.46
79,68,2,3043.12
79,49,1,10196.8
80,44,1,4984.97
81,20,2,9325.3
81,94,1,9924.95
82,64,2,8756.42
82,82,1,12679.67
82,68,1,11249.98
83,86,1,6278.12
83,13,2,7857.54
83,35,3,14444.01
84,11,1,6976.18
84,67,1,4048.04
84,95,1,10500.64
84,84,1,3810.93
84,92,2,3072.74
85,35,3,4523.41
85,96,1,11133.39
85,9,1,8077.09
85,8,1,3800.0
85,75,3,7420.59
86,69,1,5123.45
87,26,2,2187.89
88,61,1,1948.2
89,28,3,7564.84
89,73,1,8934.85
89,15,3,13354.5
89,100,3,3324.58
89,82,3,11455.37
90,33,2,9219.64
91,81,1,5265.27
91,62,3,4614.46
91,83,2,4330.9
91,69,1,5446.56
92,65,2,9575.86
92,15,1,7569.92
92,41,3,7322.34
92,21,1,1450.61
92,56,3,4917.29
93,44,3,10460.9
93,24,1,11792.48
93,98,1,3591.64
93,65,2,5140.23
94,61,1,10428.82
94,79,1,8779.62
94,20,2,2767.62
94,99,2,11894.26
94,21,3,10107.57
95,67,2,9975.61
95,54,3,4406.06
95,34,2,14047.78
96,48,1,4940.37
96,94,2,12523.85
96,41,2,4966.24
97,51,2,582.25
97,52,1,14545.86
97,46,3,12177.88
97,59,2,782.45
97,91,1,3524.83
98,38,2,843.35
98,55,2,5222.43
98,72,3,3392.06
99,80,3,6881.5
99,36,1,1579.19
100,42,3,7455.4
100,93,3,7313.14
101,100,3,6155.91
102,32,2,14810.47
102,76,2,1360.09
102,8,3,5469.03
102,69,2,6852.8
103,15,2,2447.13
103,96,1,5205.91
103,100,3,6499.77
104,20,3,4833.41
104,26,3,1776.07
105,42,3,8425.48
105,85,2,8571.78
106,89,1,2536.78
106,99,1,13125.52
106,90,3,11216.34
107,99,2,11335.46
107,28,1,5158.37
107,30,2,5751.96
108,87,3,4255.87
108,78,3,14023.88
109,16,3,6456.29
109,51,2,12072.41
110,8,3,5915.38
110,73,2,14936.99
110,65,2,11956.99
110,63,2,8834.82
110,82,1,11149.29
111,12,3,11818.53
111,69,1,12079.57
111,12,3,13876.2
111,79,3,14897.77
111,97,1,11623.17
112,36,2,7043.68
112,95,1,9931.43
112,10,1,9893.68
112,44,2,8151.85
113,3,2,8833.7
113,1,3,12509.23
113,3,1,3765.83
113,55,1,4253.37
114,75,3,11632.79
114,69,2,9977.38
115,99,3,13917.67
115,92,3,2712.77
116,27,2,3133.01
116,4,3,9227.86
117,100,1,8331.11
118,42,2,13962.75
119,26,2,2867.69
119,35,1,14076.38
120,99,2,895.8
120,57,1,12595.28
121,4,2,13079.23
121,95,1,6016.04
121,58,2,6288.08
121,27,2,9058.15
122,12,1,7847.2
123,93,3,2264.7
123,97,1,2245.2
123,63,3,9270.3
123,96,2,6519.35
123,27,1,12096.97
124,62,2,7876.66
124,59,1,605.21
124,54,2,14442.75
125,46,2,14213.11
126,56,3,4860.07
127,84,3,12247.46
128,3,2,11079.62
128,42,1,2540.67
128,32,1,8686.4
128,17,3,2758.5
129,98,1,1387.13
129,27,3,10083.81
129,48,3,6515.71
129,21,2,3000.09
130,20,3,12236.56
130,86,1,5793.49
130,15,1,934.71
130,27,2,6352.99
130,48,2,9517.75
131,4,2,913.2
132,5,3,13144.41
132,53,1,8322.39
132,98,3,10976.58
132,22,1,1951.67
133,29,1,6588.3
133,9,1,14546.59
133,60,2,12914.04
134,57,1,12925.28
134,82,1,5015.75
134,61,2,2358.88
134,85,3,5800.95
134,79,3,10886.57
135,64,3,12550.8
135,74,1,2324.58
135,66,1,12178.99
135,19,1,10058.54
136,92,2,4593.35
137,14,1,3780.24
137,24,3,10060.86
137,43,3,14622.37
137,86,3,8038.8
137,74,2,11518.46
138,42,2,5934.18
138,19,3,11177.95
139,96,2,9662.26
140,24,1,2572.84
140,5,1,2847.34
141,2,3,7471.26
141,45,1,9616.34
141,74,2,7055.51
142,59,3,4310.67
142,57,1,11301.93
143,44,2,14951.94
143,24,2,5444.25
143,63,3,7116.58
143,13,3,12915.11
143,98,3,4311.52
144,55,3,868.5
144,70,1,1871.46
144,59,1,2244.03
145,17,2,4951.94
145,56,3,14772.52
145,11,3,3147.88
146,25,1,12680.19
146,29,1,3380.82
146,96,2,8120.83
146,100,1,8661.8
146,68,3,1181.43
147,47,3,3841.14
147,68,1,5929.85
147,13,3,2901.71
